,COUNTRY,REGION,POP_1799,POP_1999,GINI_1799,GINI_1999,INCOME_1799,INCOME_1999,FERTILITY_1799,FERTILITY_1999,CHILD_MORTALITY_1799,CHILD_MORTALITY_1999,INFLATION_1999,INFLATION_2019,EMPLOYMENT_1999,EMPLOYMENT_2019
0,Afghanistan,Asia,3280.0,20200.0,30.5,37.7,0.919,0.814,7.0,7.57,469.0,133.0,11.7,6.52,45.9,49.5
1,Angola,Africa,1570.0,15900.0,57.7,52.3,2.27,4.16,6.93,6.68,486.0,211.0,558.0,28.1,59.3,70.6
2,Albania,Europe,400.0,3120.0,39.9,29.3,1.22,5.54,4.6,2.25,375.0,27.4,2.1,0.477,48.3,47.3
3,United Arab Emirates,Asia,40.2,2970.0,39.8,32.4,2.9,124.0,6.94,2.77,434.0,11.5,8.44,-1.9,73.6,77.4
4,Argentina,America,534.0,36500.0,47.7,49.8,2.4,14.7,6.8,2.59,402.0,20.4,-1.84,50.6,52.9,54.9
5,Armenia,Asia,413.0,3090.0,31.5,36.2,0.795,4.53,7.8,1.4,371.0,32.3,0.0538,1.46,50.4,49.3
6,Australia,Oceania,200.0,18800.0,38.7,33.2,1.19,37.6,6.5,1.76,391.0,6.31,0.357,3.4,58.7,61.0
7,Austria,Europe,3000.0,8050.0,53.4,29.3,2.77,47.2,5.1,1.34,387.0,5.61,0.256,1.73,55.9,56.8
8,Azerbaijan,Asia,880.0,8050.0,70.5,35.8,1.62,6.7,8.1,2.11,384.0,80.0,2.16,-0.222,55.5,62.4
9,Burundi,Africa,899.0,6270.0,34.3,41.1,0.543,1.29,6.8,7.07,424.0,162.0,15.0,0.822,83.0,77.7
10,Belgium,Europe,3250.0,10300.0,62.4,30.9,2.71,46.0,4.85,1.62,322.0,6.06,0.599,1.66,47.4,49.5
11,Benin,Africa,637.0,6660.0,40.1,38.9,0.72,2.36,5.55,6.04,430.0,143.0,48.3,-0.318,71.7,69.4
12,Burkina Faso,Africa,1670.0,11300.0,37.6,48.5,0.695,1.88,6.03,6.65,455.0,182.0,17.4,-0.633,76.4,62.1
13,Bangladesh,Asia,19200.0,125000.0,27.8,33.3,2.0,2.92,6.7,3.23,508.0,92.2,3.78,4.46,55.5,54.1
14,Bulgaria,Europe,2250.0,8070.0,38.9,29.4,1.74,7.53,5.16,1.18,370.0,18.2,3.19,5.25,43.8,51.0
15,Bahrain,Asia,64.5,637.0,42.5,35.4,1.59,56.4,7.03,2.81,440.0,13.2,2.66,0.19,64.4,72.2
16,Bahamas,America,27.4,294.0,42.1,44.0,1.53,37.4,5.9,2.17,471.0,15.9,0.224,3.02,69.5,67.2
17,Bosnia and Herzegovina,Europe,852.0,3740.0,33.4,30.1,0.86,11.5,5.91,1.56,379.0,10.3,8.36,2.63,36.2,34.1
18,Belarus,Europe,2360.0,9920.0,47.6,31.7,0.564,4.71,7.0,1.26,366.0,13.7,317.0,8.63,58.2,63.1
19,Belize,America,25.5,239.0,60.8,53.3,1.22,9.01,6.69,3.7,467.0,24.5,-2.26,1.69,52.7,61.4
20,Bolivia,America,887.0,8260.0,40.1,58.1,1.32,8.37,6.48,4.16,405.0,79.8,2.41,-0.693,67.4,65.4
21,Brazil,America,2500.0,172000.0,47.5,59.0,0.833,12.1,6.26,2.37,417.0,37.1,8.01,4.28,58.5,56.0
22,Barbados,America,81.7,270.0,43.0,45.4,1.12,15.9,4.96,1.74,470.0,15.0,4.43,2.51,61.7,58.9
23,Brunei,Asia,2.26,326.0,42.0,34.8,1.87,76.0,7.06,2.36,455.0,10.7,11.6,-3.34,63.8,62.3
24,Bhutan,Asia,392.0,578.0,41.3,41.3,0.735,3.86,6.67,3.8,463.0,82.0,6.17,0.973,63.6,65.6
25,Botswana,Africa,121.0,1610.0,46.5,63.4,0.327,8.25,6.47,3.49,397.0,85.1,14.2,0.703,48.9,59.5
26,Central African Republic,Africa,479.0,3560.0,57.8,59.0,0.503,1.77,6.51,5.52,444.0,173.0,4.08,2.38,67.1,67.5
27,Canada,America,500.0,30300.0,44.8,33.3,2.07,46.7,5.72,1.54,333.0,6.27,3.07,1.67,60.1,61.0
28,Switzerland,Europe,1750.0,7120.0,39.6,33.5,3.74,62.5,4.14,1.45,345.0,5.73,0.0398,-0.0658,65.7,64.9
